event_name,attacker_k0,victim_k0,tokens_k0,attacker_k1,victim_k1,tokens_k1,attacker_k2,victim_k2,tokens_k2,attacker_k3,victim_k3,tokens_k3,attacker_k4,victim_k4,tokens_k4,attacker_k5,victim_k5,tokens_k5
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,UNKNOWN,UNKNOWN,5207,UNKNOWN,UNKNOWN,5153,UNKNOWN,UNKNOWN,5142,UNKNOWN,UNKNOWN,5104,UNKNOWN,UNKNOWN,5178,UNKNOWN,UNKNOWN,5133
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,UNKNOWN,UNKNOWN,5276,UNKNOWN,UNKNOWN,5237,UNKNOWN,UNKNOWN,5278,UNKNOWN,UNKNOWN,5256,UNKNOWN,UNKNOWN,5272,UNKNOWN,UNKNOWN,5281
event_event_14_Pike_Finance_0x19066f74_20250806_112841_labeled.csv,UNKNOWN,UNKNOWN,3920,UNKNOWN,UNKNOWN,3903,UNKNOWN,UNKNOWN,3932,UNKNOWN,UNKNOWN,3889,UNKNOWN,UNKNOWN,3917,UNKNOWN,UNKNOWN,3972
event_event_15_JokInTheBoxETH_0xfcd4acbc_20250806_113026_labeled.csv,UNKNOWN,UNKNOWN,5173,UNKNOWN,UNKNOWN,5190,UNKNOWN,UNKNOWN,5169,UNKNOWN,UNKNOWN,5167,UNKNOWN,UNKNOWN,5166,UNKNOWN,UNKNOWN,5185
event_event_1_Blueberry_Protocol_0x3aa228a8_20250806_104150_labeled.csv,UNKNOWN,UNKNOWN,5198,UNKNOWN,UNKNOWN,5173,UNKNOWN,UNKNOWN,5203,UNKNOWN,UNKNOWN,5200,UNKNOWN,UNKNOWN,5213,UNKNOWN,UNKNOWN,5193
event_event_1_Shezmu_0xa3a64255_20250811_102553_labeled.csv,UNKNOWN,UNKNOWN,2506,UNKNOWN,UNKNOWN,2507,UNKNOWN,UNKNOWN,2521,UNKNOWN,UNKNOWN,2512,UNKNOWN,UNKNOWN,2512,UNKNOWN,UNKNOWN,2523
event_event_2_Barley_Finance_0x356e7481_20250806_104404_labeled.csv,UNKNOWN,UNKNOWN,5388,UNKNOWN,UNKNOWN,5368,UNKNOWN,UNKNOWN,5574,UNKNOWN,UNKNOWN,5400,UNKNOWN,UNKNOWN,5559,UNKNOWN,UNKNOWN,5544
event_event_2_Spectra_0x53635bf7_20250811_104636_labeled.csv,UNKNOWN,UNKNOWN,5271,UNKNOWN,UNKNOWN,5278,UNKNOWN,UNKNOWN,5192,UNKNOWN,UNKNOWN,5227,UNKNOWN,UNKNOWN,5212,UNKNOWN,UNKNOWN,5237
event_event_3_Vestra_DAO_0x954386cb_20250811_154020_labeled.csv,UNKNOWN,UNKNOWN,3510,UNKNOWN,UNKNOWN,3508,UNKNOWN,UNKNOWN,3516,UNKNOWN,UNKNOWN,3493,UNKNOWN,UNKNOWN,3500,UNKNOWN,UNKNOWN,3520
event_event_4_Prisma_Finance_0x7e39e3b3_20250811_164442_labeled.csv,UNKNOWN,UNKNOWN,5237,UNKNOWN,UNKNOWN,5218,UNKNOWN,UNKNOWN,5243,UNKNOWN,UNKNOWN,5221,UNKNOWN,UNKNOWN,5235,UNKNOWN,UNKNOWN,5222
event_event_4_Wise_Lending_0xb90cf1d7_20250806_105402_labeled.csv,UNKNOWN,UNKNOWN,5205,UNKNOWN,UNKNOWN,5197,UNKNOWN,UNKNOWN,5197,UNKNOWN,UNKNOWN,5181,UNKNOWN,UNKNOWN,5196,UNKNOWN,UNKNOWN,5172
event_event_5_UniLend_0x55f5f805_20250806_105536_labeled.csv,UNKNOWN,UNKNOWN,5101,UNKNOWN,UNKNOWN,5065,UNKNOWN,UNKNOWN,5082,UNKNOWN,UNKNOWN,5095,UNKNOWN,UNKNOWN,5341,UNKNOWN,UNKNOWN,5109
event_event_6_Euler_Finance_0xebc29199_20250806_105743_labeled.csv,UNKNOWN,UNKNOWN,5150,UNKNOWN,UNKNOWN,5129,UNKNOWN,UNKNOWN,5154,UNKNOWN,UNKNOWN,5157,UNKNOWN,UNKNOWN,5153,UNKNOWN,UNKNOWN,5130
event_event_8_OTSea_0x00000000_20250806_110443_labeled.csv,UNKNOWN,UNKNOWN,4836,UNKNOWN,UNKNOWN,4851,UNKNOWN,UNKNOWN,4858,UNKNOWN,UNKNOWN,4851,UNKNOWN,UNKNOWN,4834,UNKNOWN,UNKNOWN,4858
event_event_9_Dexible_0x684083f3_20250806_110455_labeled.csv,UNKNOWN,UNKNOWN,3276,UNKNOWN,UNKNOWN,3284,UNKNOWN,UNKNOWN,3284,UNKNOWN,UNKNOWN,3284,UNKNOWN,UNKNOWN,3271,UNKNOWN,UNKNOWN,3290
