event_name,k_neighbors,total_tokens,prompt_tokens,completion_tokens,attacker_address,victim_address,num_paths,prompt_length
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,0,12547,11766,781,0x9daee0cc,0x67104175,30,21707
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,1,152402,151352,1050,需要进一步分析确定具体地址，但从`flashLoan`的发起者和`transfer`的目标地址中寻找。,0x67104175 (Dough Finance协议地址),30,311944
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,2,152465,151352,1113,未明确识别出攻击者合约地址，但交易hash 92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e和9f497c7d974b2a3bf9a1250ca08891607053921463ad61fe593148e9b426bd09相关地址可能与攻击者有关。,0x67104175 (Dough Finance),30,311944
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,3,152496,151352,1144,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的调用者和合约交互。,Dough Finance 协议 (0x67104175),30,311944
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,4,152330,151352,978,0x9daee0cc,0x67104175,30,311944
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,5,152398,151352,1046,未明确识别出攻击者地址，需要进一步分析交易的外部调用者和合约创建者。,0x67104175 (Dough Finance 合约地址),30,311944
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,0,13036,11980,1056,无法直接从提供的路径中确定攻击者地址，需要结合交易hash和链上数据进行分析。,0x841ddf09 (UwU Lend 合约地址，从源文件名推断),30,22200
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,1,423081,422132,949,无法直接从提供的Top-30可疑路径中确定攻击者地址，需要进一步分析交易发起者和资金流向。,0x841ddf09... (UwU Lend 合约地址，从源文件名推断),30,906421
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,2,422734,422132,602,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的外部调用者。,UwU Lend 协议 (0x841ddf09...),30,906421
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,3,423261,422132,1129,0x9235e0662e230bdfa94f56f4932fd09a95fea17e,0x841ddf09,30,906421
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,4,423114,422132,982,无法直接从提供的路径中确定攻击者地址，需要进一步分析交易的发起者。,UwU Lend 协议 (0x841ddf09...),30,906421
event_event_13_UwU_Lend_0x841ddf09_20250806_112739_labeled.csv,5,423065,422132,933,0x9a9f2cc988940ef177e81b42f444a0ef69491216,0x3e9bd0fcb3c1cba505954139c691f12292499599,30,906421
