path_id,event_id,event_name,attacker_address,tx_hash,tx_block_number,tx_method_name,path_length,max_depth,path_content,method_count,address_count,total_value,contains_create,contains_transfer,contains_swap,contains_approve,block_range_start,block_range_end,event_type,extraction_timestamp,methods_str,unique_methods_str,addresses_str,call_type_distribution_str,path_nodes_detail_str,label
2fcc27c4c235837b,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,599c982a58a00525e16bc863729d83f247a02b04f4e6863e9f5cc9f24519261a,20738179,0000000000,1,1,0x00000000:0x567a8210:0000000000,1,2,69.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:08.766065,0000000000,0000000000,0x567a82103ab5e879597d3e3fcca5fe1c4217cc33|0x000000003704bc4ffb86000046721f44ef3dbabe,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0x000000003704bc4ffb86000046721f44ef3dbabe"", ""to"": ""0x567a82103ab5e879597d3e3fcca5fe1c4217cc33"", ""method"": ""0000000000"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""69"", ""input"": """"}]",0
211fe890c8f7f7da,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,599c982a58a00525e16bc863729d83f247a02b04f4e6863e9f5cc9f24519261a,20738179,0000000000,1,1,0x00000000:0x567a8210:get_block_hash_257335279069929(uint256),1,2,69.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:08.766114,get_block_hash_257335279069929(uint256),get_block_hash_257335279069929(uint256),0x567a82103ab5e879597d3e3fcca5fe1c4217cc33|0x000000003704bc4ffb86000046721f44ef3dbabe,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0x000000003704bc4ffb86000046721f44ef3dbabe"", ""to"": ""0x567a82103ab5e879597d3e3fcca5fe1c4217cc33"", ""method"": ""get_block_hash_257335279069929(uint256)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x45"", ""input"": """"}]",0
9f866dc2de4ce70d,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,1,1,0x00000000:0xd11ee5a6:944351ec00,1,2,0.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397663,944351ec00,944351ec00,0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0x000000003704bc4ffb86000046721f44ef3dbabe,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0x000000003704bc4ffb86000046721f44ef3dbabe"", ""to"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""method"": ""944351ec00"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0"", ""input"": """"}]",0
3d1ccdec52d4797f,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,3,3,0x00000000:0xd11ee5a6:0x944351ec->0xd11ee5a6:0x34bccf4a:distribute()->0x34bccf4a:0xf2c8e860:getCurrentEpoch(),3,4,0.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397714,0x944351ec|distribute()|getCurrentEpoch(),0x944351ec|getCurrentEpoch()|distribute(),0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0xf2c8e860ca12cde3f3195423ecf54427a4f30916|0x34bccf4af03870265fe99cec262524f343cca7ff|0x000000003704bc4ffb86000046721f44ef3dbabe,"{""function_call"": 3}","[{""step"": 1, ""from"": ""0x000000003704bc4ffb86000046721f44ef3dbabe"", ""to"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""method"": ""0x944351ec"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""to"": ""0x34bccf4af03870265fe99cec262524f343cca7ff"", ""method"": ""distribute()"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 3, ""from"": ""0x34bccf4af03870265fe99cec262524f343cca7ff"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""getCurrentEpoch()"", ""method_id"": """", ""depth"": 3, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",0
e3be82b7e5ee0fb0,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,3,3,0x00000000:0xd11ee5a6:0x944351ec->0xd11ee5a6:0x34bccf4a:distribute()->0x34bccf4a:0xf2c8e860:distribute(),2,4,2.956479034375942e+17,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397748,0x944351ec|distribute()|distribute(),0x944351ec|distribute(),0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0xf2c8e860ca12cde3f3195423ecf54427a4f30916|0x34bccf4af03870265fe99cec262524f343cca7ff|0x000000003704bc4ffb86000046721f44ef3dbabe,"{""function_call"": 3}","[{""step"": 1, ""from"": ""0x000000003704bc4ffb86000046721f44ef3dbabe"", ""to"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""method"": ""0x944351ec"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""to"": ""0x34bccf4af03870265fe99cec262524f343cca7ff"", ""method"": ""distribute()"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 3, ""from"": ""0x34bccf4af03870265fe99cec262524f343cca7ff"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""distribute()"", ""method_id"": """", ""depth"": 3, ""call_type"": ""function_call"", ""value"": ""0x41a5a33a6fc9e24"", ""input"": """"}]",0
c5d246256b253a34,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,1,1,0xd11ee5a6:0x5da151b9:balanceOf(address),1,2,0.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397772,balanceOf(address),balanceOf(address),0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0x5da151b95657e788076d04d56234bd93e409cb09,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""to"": ""0x5da151b95657e788076d04d56234bd93e409cb09"", ""method"": ""balanceOf(address)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",0
c5d246256b253a34,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,1,1,0xd11ee5a6:0x5da151b9:balanceOf(address),1,2,0.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397794,balanceOf(address),balanceOf(address),0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0x5da151b95657e788076d04d56234bd93e409cb09,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""to"": ""0x5da151b95657e788076d04d56234bd93e409cb09"", ""method"": ""balanceOf(address)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",0
d1dbc74bcd24446d,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,1,1,"0xd11ee5a6:0xf2c8e860:getDeposit(address,uint256)",1,2,0.0,False,False,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397813,"getDeposit(address,uint256)","getDeposit(address,uint256)",0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0xf2c8e860ca12cde3f3195423ecf54427a4f30916,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""getDeposit(address,uint256)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",0
b629d187c5c2dd4a,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,5,5,"0xd11ee5a6:0x5aec8469:0x22a10c2d->0x5aec8469:0xf2c8e860:claim(uint256[],address)->0xf2c8e860:0x5aec8469:eth_transfer->0x5aec8469:0xf2c8e860:withdraw(uint256[],address)->0xf2c8e860:0x5da151b9:transfer(address,uint256)",5,4,10261035.0,False,True,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397857,"0x22a10c2d|claim(uint256[],address)|eth_transfer|withdraw(uint256[],address)|transfer(address,uint256)","0x22a10c2d|eth_transfer|claim(uint256[],address)|withdraw(uint256[],address)|transfer(address,uint256)",0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985|0x5aec8469414332d62bf5058fb91f2f8457e5c5cb|0x5da151b95657e788076d04d56234bd93e409cb09|0xf2c8e860ca12cde3f3195423ecf54427a4f30916,"{""function_call"": 3, ""transfer_operation"": 2}","[{""step"": 1, ""from"": ""0xd11ee5a6a9ebd9327360d7a82e40d2f8c314e985"", ""to"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""method"": ""0x22a10c2d"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""claim(uint256[],address)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 3, ""from"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""to"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""method"": ""eth_transfer"", ""method_id"": """", ""depth"": 3, ""call_type"": ""transfer_operation"", ""value"": ""0x9c922b"", ""input"": """"}, {""step"": 4, ""from"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""withdraw(uint256[],address)"", ""method_id"": """", ""depth"": 4, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 5, ""from"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""to"": ""0x5da151b95657e788076d04d56234bd93e409cb09"", ""method"": ""transfer(address,uint256)"", ""method_id"": """", ""depth"": 5, ""call_type"": ""transfer_operation"", ""value"": ""0x0"", ""input"": """"}]",1
227b0cb142f2bc1e,event_8,OTSea,0x000000003704bc4ffb86000046721f44ef3dbabe,90b4fcf583444d44efb8625e6f253cfcb786d2f4eda7198bdab67a54108cd5f4,20738191,944351ec00,4,4,"0x5aec8469:0xf2c8e860:claim(uint256[],address)->0xf2c8e860:0x5aec8469:eth_transfer->0x5aec8469:0xf2c8e860:withdraw(uint256[],address)->0xf2c8e860:0x5da151b9:transfer(address,uint256)",4,3,10261035.0,False,True,False,False,20738179,20738497,Unknown,2025-08-06T11:04:40.397891,"claim(uint256[],address)|eth_transfer|withdraw(uint256[],address)|transfer(address,uint256)","withdraw(uint256[],address)|transfer(address,uint256)|eth_transfer|claim(uint256[],address)",0xf2c8e860ca12cde3f3195423ecf54427a4f30916|0x5aec8469414332d62bf5058fb91f2f8457e5c5cb|0x5da151b95657e788076d04d56234bd93e409cb09,"{""function_call"": 2, ""transfer_operation"": 2}","[{""step"": 1, ""from"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""claim(uint256[],address)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""to"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""method"": ""eth_transfer"", ""method_id"": """", ""depth"": 2, ""call_type"": ""transfer_operation"", ""value"": ""0x9c922b"", ""input"": """"}, {""step"": 3, ""from"": ""0x5aec8469414332d62bf5058fb91f2f8457e5c5cb"", ""to"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""method"": ""withdraw(uint256[],address)"", ""method_id"": """", ""depth"": 3, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 4, ""from"": ""0xf2c8e860ca12cde3f3195423ecf54427a4f30916"", ""to"": ""0x5da151b95657e788076d04d56234bd93e409cb09"", ""method"": ""transfer(address,uint256)"", ""method_id"": """", ""depth"": 4, ""call_type"": ""transfer_operation"", ""value"": ""0x0"", ""input"": """"}]",1
