path_id,event_id,event_name,attacker_address,tx_hash,tx_block_number,tx_method_name,path_length,max_depth,path_content,method_count,address_count,total_value,contains_create,contains_transfer,contains_swap,contains_approve,block_range_start,block_range_end,event_type,extraction_timestamp,methods_str,unique_methods_str,addresses_str,call_type_distribution_str,path_nodes_detail_str,label
fcfed5a13a59b21a,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,1,1,0x684083f3:0x194fc30f:bf4c1d6000,1,2,0,False,False,False,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349537,bf4c1d6000,bf4c1d6000,0x194fc30f9eeba9ad673413629b47fc00e71d90df|0x684083f312ac50f538cc4b634d85a2feafaab77a,"{""function_call"": 1}","[{""step"": 1, ""from"": ""0x684083f312ac50f538cc4b634d85a2feafaab77a"", ""to"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""method"": ""bf4c1d6000"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0"", ""input"": """"}]",0
6e547b84eb817998,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,3,3,"0x684083f3:0x194fc30f:0xbf4c1d60->0x194fc30f:0xa0b86991:approve(address,uint256)->0xa0b86991:0xa2327a93:approve(address,uint256)",2,4,0,False,False,False,True,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349591,"0xbf4c1d60|approve(address,uint256)|approve(address,uint256)","approve(address,uint256)|0xbf4c1d60",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf|0x684083f312ac50f538cc4b634d85a2feafaab77a|0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,"{""function_call"": 1, ""approval_operation"": 2}","[{""step"": 1, ""from"": ""0x684083f312ac50f538cc4b634d85a2feafaab77a"", ""to"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""method"": ""0xbf4c1d60"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"", ""method"": ""approve(address,uint256)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""approval_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 3, ""from"": ""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"", ""to"": ""0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf"", ""method"": ""approve(address,uint256)"", ""method_id"": """", ""depth"": 3, ""call_type"": ""approval_operation"", ""value"": ""0x0"", ""input"": """"}]",0
c606688d3ab9a2e7,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,0x194fc30f:0x4c19596f:balanceOf(address)->0x4c19596f:0x095527f5:balanceOf(address),1,3,0,False,False,False,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349622,balanceOf(address)|balanceOf(address),balanceOf(address),0x194fc30f9eeba9ad673413629b47fc00e71d90df|0x4c19596f5aaff459fa38b0f7ed92f11ae6543784|0x095527f5bea113e9575b662c5ba01d990a280f2f,"{""function_call"": 2}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0x4c19596f5aaff459fa38b0f7ed92f11ae6543784"", ""method"": ""balanceOf(address)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0x4c19596f5aaff459fa38b0f7ed92f11ae6543784"", ""to"": ""0x095527f5bea113e9575b662c5ba01d990a280f2f"", ""method"": ""balanceOf(address)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",0
72c3998c82fccf28,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,"0x194fc30f:0x4c19596f:allowance(address,address)->0x4c19596f:0x095527f5:allowance(address,address)",1,3,0,False,False,False,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349649,"allowance(address,address)|allowance(address,address)","allowance(address,address)",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0x4c19596f5aaff459fa38b0f7ed92f11ae6543784|0x095527f5bea113e9575b662c5ba01d990a280f2f,"{""function_call"": 2}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0x4c19596f5aaff459fa38b0f7ed92f11ae6543784"", ""method"": ""allowance(address,address)"", ""method_id"": """", ""depth"": 1, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0x4c19596f5aaff459fa38b0f7ed92f11ae6543784"", ""to"": ""0x095527f5bea113e9575b662c5ba01d990a280f2f"", ""method"": ""allowance(address,address)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",0
b214ca8d3e6fdd5c,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,"0x194fc30f:0xde62e1b0:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))->0xde62e1b0:0x33e690ae:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))",1,3,0,False,False,True,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349676,"selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))","selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0x33e690aea97e4ef25f0d140f1bf044d663091daf|0xde62e1b0edaa55aac5ffbe21984d321706418024,"{""swap_operation"": 2}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 1, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""to"": ""0x33e690aea97e4ef25f0d140f1bf044d663091daf"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 2, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}]",1
51cc50a10fa220fe,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,"0x194fc30f:0xde62e1b0:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))->0xde62e1b0:0xde62e1b0:fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))",2,2,0,False,False,True,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349704,"selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))","fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))|selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0xde62e1b0edaa55aac5ffbe21984d321706418024,"{""function_call"": 1, ""swap_operation"": 1}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 1, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",1
48c55f35cb3f13e1,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,"0x194fc30f:0xde62e1b0:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))->0xde62e1b0:0x33e690ae:fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))",2,3,0,False,False,True,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349729,"selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))","fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))|selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0x33e690aea97e4ef25f0d140f1bf044d663091daf|0xde62e1b0edaa55aac5ffbe21984d321706418024,"{""function_call"": 1, ""swap_operation"": 1}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 1, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""to"": ""0x33e690aea97e4ef25f0d140f1bf044d663091daf"", ""method"": ""fill(((address,(address,address,uint256)),(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]),(bool,bool,address,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256))"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",1
ab89ca21769f9f42,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,"0x194fc30f:0xde62e1b0:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))->0xde62e1b0:0xeb890541:isFeeTokenAllowed(address)",2,3,0,False,False,True,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349752,"selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|isFeeTokenAllowed(address)","isFeeTokenAllowed(address)|selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0xeb890541049ccd965d3dd4a3ec1ad368fd4b26a4|0xde62e1b0edaa55aac5ffbe21984d321706418024,"{""function_call"": 1, ""swap_operation"": 1}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 1, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""to"": ""0xeb890541049ccd965d3dd4a3ec1ad368fd4b26a4"", ""method"": ""isFeeTokenAllowed(address)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",1
9a52578a98c6221f,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,2,2,"0x194fc30f:0xde62e1b0:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))->0xde62e1b0:0xd6f48378:balanceOf(address)",2,3,0,False,False,True,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349776,"selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|balanceOf(address)","selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|balanceOf(address)",0xd6f483787c135b20570e7acb1d1fbc557b8f42f8|0x194fc30f9eeba9ad673413629b47fc00e71d90df|0xde62e1b0edaa55aac5ffbe21984d321706418024,"{""function_call"": 1, ""swap_operation"": 1}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 1, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""to"": ""0xd6f483787c135b20570e7acb1d1fbc557b8f42f8"", ""method"": ""balanceOf(address)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""function_call"", ""value"": ""0x0"", ""input"": """"}]",1
6c25b14fbacc9744,event_9,Dexible,0x684083f312ac50f538cc4b634d85a2feafaab77a,138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,16646023,bf4c1d6000,3,3,"0x194fc30f:0xde62e1b0:selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))->0xde62e1b0:0xa0b86991:transferFrom(address,address,uint256)->0xa0b86991:0xa2327a93:transferFrom(address,address,uint256)",2,4,0,False,True,True,False,16646023,16646024,Contract Vulnerability,2025-08-06T11:04:55.349805,"selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))|transferFrom(address,address,uint256)|transferFrom(address,address,uint256)","transferFrom(address,address,uint256)|selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))",0x194fc30f9eeba9ad673413629b47fc00e71d90df|0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf|0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48|0xde62e1b0edaa55aac5ffbe21984d321706418024,"{""transfer_operation"": 2, ""swap_operation"": 1}","[{""step"": 1, ""from"": ""0x194fc30f9eeba9ad673413629b47fc00e71d90df"", ""to"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""method"": ""selfSwap((address,(uint112,address),(uint112,address),(address,address,(uint112,address),bytes)[]))"", ""method_id"": """", ""depth"": 1, ""call_type"": ""swap_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 2, ""from"": ""0xde62e1b0edaa55aac5ffbe21984d321706418024"", ""to"": ""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"", ""method"": ""transferFrom(address,address,uint256)"", ""method_id"": """", ""depth"": 2, ""call_type"": ""transfer_operation"", ""value"": ""0x0"", ""input"": """"}, {""step"": 3, ""from"": ""0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"", ""to"": ""0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf"", ""method"": ""transferFrom(address,address,uint256)"", ""method_id"": """", ""depth"": 3, ""call_type"": ""transfer_operation"", ""value"": ""0x0"", ""input"": """"}]",1
