source_file,path_id,tx_hash,path_length,context_size,neighbor_count,label,event_name,attacker_address
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,1299dc5e869a028d,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,6,12,6,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,76e9a5c59a8fe93c,9f497c7d974b2a3bf9a1250ca08891607053921463ad61fe593148e9b426bd09,3,3,0,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,7576fa4beb138193,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,4,9,5,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,75a92173c2277183,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,4,8,4,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,081664fe0e6ca76c,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,4,9,5,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,2b37852a1f003d6d,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,5,11,6,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,518f99ed85aa5824,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,4,8,4,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,5341e1f7a473208e,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,3,7,4,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,447056902aed20b7,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,3,7,4,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,4ea86ae51973f134,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,5,11,6,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,4a7dd4810055ff89,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,6,12,6,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,c97f94eea61b6091,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,6,11,5,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,261be58b8110f26c,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,3,7,4,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,184449005f6ece13,2c98beaffe38d8cfb8111c9db1ba5215d134ebefc3b4faeea749aa301ea5432a,3,4,1,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,b559e1a01e4d4185,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,3,7,4,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,472eddce5afaa1c9,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,4,9,5,1,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,4558c868ddd72eb9,4d52f0dad3ddb7ac5523c51a75a9acd47b244e536b240d692784305b69ca6ab5,5,8,3,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
event_event_12_Dough_Finance_0x67104175_20250806_112111_labeled.csv,2e714e05aa7cdc18,92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,3,7,4,0,Dough Finance,0x67104175fc5fabbdb5a1876c3914e04b94c71741
